Injury_ID,Injury_Location,Condition_Name,Severity,Affected_Workout_Types,Recommended_Modifications
INJ_1197,Ankle / Foot,Flat Feet Pain,Moderate,Full Body,Substitute standing calf raises with seated
INJ_1198,Neck,Upper Trapezius Spasm,Rehabilitating,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy barbell shrugs
INJ_1199,Shoulder,Rotator Cuff Tendinitis,Chronic/Recurring,Upper Body,Avoid overhead pressing
INJ_1200,Lower Back,Muscle Spasm,Mild,Full Body & Legs,Avoid heavy deadlifts and bent-over rows
INJ_1201,Shoulder,Frozen Shoulder (Mild),Moderate,Full Body & Pull (Back/Biceps),Avoid wide-grip pull-ups
INJ_1202,Lower Back,Sciatica,Rehabilitating,Full Body,Substitute sit-ups with planks or bird-dogs
INJ_1203,Ankle / Foot,Achilles Tendinitis,Moderate,Legs & Core & Cardio,Wear supportive footwear during lifts | Perform cardio on a stationary bike or swimming instead
INJ_1204,Lower Back,SI Joint Dysfunction,Mild,Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs | Keep spine neutral
INJ_1205,Shoulder,Biceps Tendinitis,Rehabilitating,Upper Body,Keep elbows tucked during push-ups
INJ_1206,Wrist / Elbow,Wrist Sprain,Rehabilitating,Push (Chest/Shoulders/Triceps) & Upper Body,Substitute push-ups with forearm planks or knuckle push-ups
INJ_1207,Neck,Upper Trapezius Spasm,Rehabilitating,Core & Cardio,Avoid overhead presses if causing pain
INJ_1208,Knee,Meniscus Tear (Mild),Mild,Full Body & Legs,Avoid deep squatting | Keep knee flexion pain-free
INJ_1209,Ankle / Foot,Ankle Sprain,Mild,Full Body,"Avoid running, jumping, and high-impact cardio"
INJ_1210,Ankle / Foot,Plantar Fasciitis,Chronic/Recurring,Legs & Full Body,"Avoid running, jumping, and high-impact cardio"
INJ_1211,Ankle / Foot,Shin Splints,Rehabilitating,Full Body,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1212,Lower Back,Sciatica,Mild,Core & Cardio & Full Body,Avoid twisting core movements | Keep spine neutral
INJ_1213,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Avoid skull crushers | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1214,Lower Back,Sciatica,Mild,Full Body & Core & Cardio,Keep spine neutral
INJ_1215,Neck,Whiplash Recovery,Moderate,Push (Chest/Shoulders/Triceps) & Core & Cardio,Avoid heavy barbell shrugs | Keep neck neutral during planks and push-ups
INJ_1216,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio & Upper Body,Avoid crunches where hands pull on the neck
INJ_1217,Knee,Knee Osteoarthritis,Mild,Legs & Full Body,Keep knee flexion pain-free | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1218,Ankle / Foot,Shin Splints,Rehabilitating,Full Body & Legs,Substitute standing calf raises with seated
INJ_1219,Wrist / Elbow,TFCC Tear (Mild),Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Use neutral grips (hammer curls instead of regular)
INJ_1220,Neck,Postural Neck Pain,Mild,Core & Cardio & Upper Body,Avoid crunches where hands pull on the neck | Keep neck neutral during planks and push-ups
INJ_1221,Wrist / Elbow,TFCC Tear (Mild),Mild,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Substitute push-ups with forearm planks or knuckle push-ups
INJ_1222,Knee,Knee Osteoarthritis,Moderate,Legs & Full Body,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1223,Neck,Upper Trapezius Spasm,Mild,Upper Body & Core & Cardio,Avoid overhead presses if causing pain
INJ_1224,Knee,Ligament Sprain (ACL/MCL),Chronic/Recurring,Legs & Full Body,Avoid deep squatting
INJ_1225,Neck,Whiplash Recovery,Rehabilitating,Upper Body & Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs | Keep neck neutral during planks and push-ups
INJ_1226,Ankle / Foot,Achilles Tendinitis,Rehabilitating,Full Body,Perform cardio on a stationary bike or swimming instead
INJ_1227,Ankle / Foot,Ankle Sprain,Mild,Legs,Wear supportive footwear during lifts
INJ_1228,Shoulder,Biceps Tendinitis,Mild,Full Body & Pull (Back/Biceps),Substitute barbell bench with neutral-grip dumbbell press | Avoid wide-grip pull-ups
INJ_1229,Neck,Whiplash Recovery,Moderate,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs | Avoid overhead presses if causing pain
INJ_1230,Shoulder,AC Joint Sprain,Moderate,Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1231,Knee,Meniscus Tear (Mild),Chronic/Recurring,Full Body & Legs,"Avoid deep squatting | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1232,Lower Back,Sciatica,Chronic/Recurring,Pull (Back/Biceps) & Legs,Avoid twisting core movements | Keep spine neutral
INJ_1233,Knee,Meniscus Tear (Mild),Mild,Legs,Keep knee flexion pain-free
INJ_1234,Ankle / Foot,Ankle Sprain,Rehabilitating,Core & Cardio,Perform cardio on a stationary bike or swimming instead | Substitute standing calf raises with seated
INJ_1235,Ankle / Foot,Ankle Sprain,Mild,Full Body,Substitute standing calf raises with seated
INJ_1236,Knee,Knee Osteoarthritis,Chronic/Recurring,Core & Cardio & Full Body,Keep knee flexion pain-free
INJ_1237,Neck,Upper Trapezius Spasm,Rehabilitating,Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck | Keep neck neutral during planks and push-ups
INJ_1238,Ankle / Foot,Flat Feet Pain,Rehabilitating,Core & Cardio,"Avoid running, jumping, and high-impact cardio"
INJ_1239,Lower Back,SI Joint Dysfunction,Moderate,Core & Cardio & Legs,Keep spine neutral | Avoid heavy deadlifts and bent-over rows
INJ_1240,Lower Back,Lumbar Strain,Moderate,Pull (Back/Biceps) & Legs,Avoid twisting core movements | Substitute sit-ups with planks or bird-dogs
INJ_1241,Lower Back,Sciatica,Rehabilitating,Core & Cardio & Legs,Keep spine neutral
INJ_1242,Knee,Patellar Tendinitis,Chronic/Recurring,Full Body & Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid deep squatting
INJ_1243,Ankle / Foot,Plantar Fasciitis,Moderate,Core & Cardio,Substitute standing calf raises with seated | Wear supportive footwear during lifts
INJ_1244,Neck,Whiplash Recovery,Moderate,Upper Body,Keep neck neutral during planks and push-ups
INJ_1245,Lower Back,Lumbar Strain,Rehabilitating,Pull (Back/Biceps) & Legs,Avoid twisting core movements | Avoid heavy deadlifts and bent-over rows
INJ_1246,Neck,Upper Trapezius Spasm,Mild,Upper Body & Core & Cardio,Keep neck neutral during planks and push-ups | Avoid heavy barbell shrugs
INJ_1247,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Avoid skull crushers | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1248,Wrist / Elbow,Golfer's Elbow,Moderate,Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular)
INJ_1249,Knee,Meniscus Tear (Mild),Mild,Core & Cardio & Full Body,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1250,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Legs,"Substitute standing calf raises with seated | Avoid running, jumping, and high-impact cardio"
INJ_1251,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Rehabilitating,Upper Body,Avoid heavy gripping (use straps for pulling) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1252,Lower Back,Herniated Disc (Mild),Moderate,Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs | Keep spine neutral
INJ_1253,Ankle / Foot,Ankle Sprain,Mild,Legs & Core & Cardio,Substitute standing calf raises with seated
INJ_1254,Knee,Runner's Knee (Patellofemoral Pain),Moderate,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1255,Lower Back,Sciatica,Mild,Legs,Keep spine neutral
INJ_1256,Lower Back,Herniated Disc (Mild),Moderate,Pull (Back/Biceps),Avoid twisting core movements | Substitute sit-ups with planks or bird-dogs
INJ_1257,Wrist / Elbow,TFCC Tear (Mild),Rehabilitating,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular) | Avoid heavy gripping (use straps for pulling)
INJ_1258,Ankle / Foot,Plantar Fasciitis,Rehabilitating,Full Body,Substitute standing calf raises with seated
INJ_1259,Lower Back,Muscle Spasm,Moderate,Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs | Avoid twisting core movements
INJ_1260,Shoulder,Rotator Cuff Tendinitis,Rehabilitating,Pull (Back/Biceps) & Upper Body,Keep elbows tucked during push-ups
INJ_1261,Ankle / Foot,Plantar Fasciitis,Chronic/Recurring,Legs,"Avoid running, jumping, and high-impact cardio | Substitute standing calf raises with seated"
INJ_1262,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Full Body & Legs,"Keep knee flexion pain-free | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1263,Neck,Cervical Strain,Moderate,Push (Chest/Shoulders/Triceps) & Core & Cardio,Avoid overhead presses if causing pain
INJ_1264,Neck,Whiplash Recovery,Rehabilitating,Upper Body & Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck
INJ_1265,Neck,Whiplash Recovery,Chronic/Recurring,Core & Cardio,Avoid overhead presses if causing pain | Avoid heavy barbell shrugs
INJ_1266,Shoulder,AC Joint Sprain,Mild,Full Body,Keep elbows tucked during push-ups
INJ_1267,Wrist / Elbow,Wrist Sprain,Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy gripping (use straps for pulling)
INJ_1268,Lower Back,Lumbar Strain,Mild,Full Body & Core & Cardio,Keep spine neutral
INJ_1269,Ankle / Foot,Plantar Fasciitis,Moderate,Legs,Perform cardio on a stationary bike or swimming instead
INJ_1270,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling) | Use neutral grips (hammer curls instead of regular)
INJ_1271,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Legs & Full Body,Keep knee flexion pain-free
INJ_1272,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Core & Cardio,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1273,Shoulder,Shoulder Impingement,Rehabilitating,Upper Body & Pull (Back/Biceps),Keep elbows tucked during push-ups
INJ_1274,Lower Back,Muscle Spasm,Rehabilitating,Core & Cardio & Legs,Keep spine neutral
INJ_1275,Lower Back,Muscle Spasm,Moderate,Core & Cardio & Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs
INJ_1276,Lower Back,Lumbar Strain,Moderate,Legs,Substitute sit-ups with planks or bird-dogs
INJ_1277,Knee,Patellar Tendinitis,Moderate,Legs & Full Body,Avoid deep squatting
INJ_1278,Wrist / Elbow,Wrist Sprain,Rehabilitating,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Substitute push-ups with forearm planks or knuckle push-ups | Avoid heavy gripping (use straps for pulling)
INJ_1279,Knee,Knee Osteoarthritis,Chronic/Recurring,Legs,"Avoid high-impact jumps (Box Jumps, Burpees) | Keep knee flexion pain-free"
INJ_1280,Neck,Cervical Strain,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Keep neck neutral during planks and push-ups | Avoid heavy barbell shrugs
INJ_1281,Neck,Upper Trapezius Spasm,Moderate,Core & Cardio,Avoid crunches where hands pull on the neck | Avoid heavy barbell shrugs
INJ_1282,Neck,Cervical Strain,Chronic/Recurring,Upper Body,Keep neck neutral during planks and push-ups | Avoid crunches where hands pull on the neck
INJ_1283,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Full Body,"Avoid high-impact jumps (Box Jumps, Burpees) | Avoid deep squatting"
INJ_1284,Neck,Whiplash Recovery,Chronic/Recurring,Upper Body & Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck
INJ_1285,Wrist / Elbow,Wrist Sprain,Rehabilitating,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid skull crushers
INJ_1286,Ankle / Foot,Ankle Sprain,Moderate,Legs,"Avoid running, jumping, and high-impact cardio"
INJ_1287,Neck,Whiplash Recovery,Rehabilitating,Core & Cardio,Avoid crunches where hands pull on the neck
INJ_1288,Knee,Meniscus Tear (Mild),Mild,Legs,Avoid deep squatting
INJ_1289,Shoulder,AC Joint Sprain,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1290,Shoulder,Biceps Tendinitis,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid overhead pressing | Keep elbows tucked during push-ups
INJ_1291,Knee,Ligament Sprain (ACL/MCL),Mild,Full Body & Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1292,Shoulder,Biceps Tendinitis,Mild,Full Body & Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1293,Knee,Knee Osteoarthritis,Mild,Full Body & Core & Cardio,Avoid deep squatting
INJ_1294,Lower Back,Lumbar Strain,Mild,Legs,Avoid twisting core movements
INJ_1295,Lower Back,Herniated Disc (Mild),Chronic/Recurring,Legs & Pull (Back/Biceps),Keep spine neutral
INJ_1296,Wrist / Elbow,Golfer's Elbow,Moderate,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Substitute push-ups with forearm planks or knuckle push-ups | Use neutral grips (hammer curls instead of regular)
INJ_1297,Lower Back,Sciatica,Moderate,Legs,Avoid twisting core movements | Avoid heavy deadlifts and bent-over rows
INJ_1298,Lower Back,SI Joint Dysfunction,Chronic/Recurring,Pull (Back/Biceps),Keep spine neutral | Avoid twisting core movements
INJ_1299,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Chronic/Recurring,Pull (Back/Biceps),Avoid skull crushers
INJ_1300,Neck,Cervical Strain,Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy barbell shrugs
INJ_1301,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Chronic/Recurring,Pull (Back/Biceps),Use neutral grips (hammer curls instead of regular)
INJ_1302,Lower Back,Herniated Disc (Mild),Chronic/Recurring,Full Body,Substitute sit-ups with planks or bird-dogs
INJ_1303,Shoulder,Frozen Shoulder (Mild),Chronic/Recurring,Pull (Back/Biceps),Avoid overhead pressing
INJ_1304,Lower Back,Sciatica,Chronic/Recurring,Legs,Keep spine neutral
INJ_1305,Neck,Cervical Strain,Moderate,Push (Chest/Shoulders/Triceps) & Core & Cardio,Keep neck neutral during planks and push-ups | Avoid heavy barbell shrugs
INJ_1306,Wrist / Elbow,Wrist Sprain,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling)
INJ_1307,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Upper Body,Use neutral grips (hammer curls instead of regular) | Avoid skull crushers
INJ_1308,Ankle / Foot,Flat Feet Pain,Chronic/Recurring,Core & Cardio,Perform cardio on a stationary bike or swimming instead
INJ_1309,Knee,Ligament Sprain (ACL/MCL),Mild,Core & Cardio & Full Body,Keep knee flexion pain-free | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1310,Wrist / Elbow,TFCC Tear (Mild),Moderate,Pull (Back/Biceps) & Upper Body,Avoid heavy gripping (use straps for pulling)
INJ_1311,Knee,Ligament Sprain (ACL/MCL),Rehabilitating,Core & Cardio,Avoid deep squatting | Keep knee flexion pain-free
INJ_1312,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Upper Body,Avoid heavy gripping (use straps for pulling)
INJ_1313,Neck,Postural Neck Pain,Rehabilitating,Upper Body,Avoid heavy barbell shrugs
INJ_1314,Neck,Cervical Strain,Mild,Upper Body & Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain
INJ_1315,Knee,Meniscus Tear (Mild),Rehabilitating,Full Body,Avoid deep squatting | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1316,Ankle / Foot,Achilles Tendinitis,Mild,Core & Cardio,Perform cardio on a stationary bike or swimming instead
INJ_1317,Neck,Whiplash Recovery,Moderate,Core & Cardio & Upper Body,Keep neck neutral during planks and push-ups | Avoid crunches where hands pull on the neck
INJ_1318,Shoulder,AC Joint Sprain,Mild,Upper Body,Keep elbows tucked during push-ups | Substitute barbell bench with neutral-grip dumbbell press
INJ_1319,Neck,Postural Neck Pain,Mild,Upper Body & Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck
INJ_1320,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Legs & Core & Cardio,Keep knee flexion pain-free | Avoid deep squatting
INJ_1321,Ankle / Foot,Shin Splints,Rehabilitating,Core & Cardio,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1322,Ankle / Foot,Flat Feet Pain,Rehabilitating,Core & Cardio,Wear supportive footwear during lifts
INJ_1323,Neck,Postural Neck Pain,Rehabilitating,Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain
INJ_1324,Ankle / Foot,Shin Splints,Moderate,Core & Cardio,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1325,Neck,Upper Trapezius Spasm,Moderate,Core & Cardio,Keep neck neutral during planks and push-ups
INJ_1326,Knee,Meniscus Tear (Mild),Rehabilitating,Full Body & Legs,"Avoid deep squatting | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1327,Lower Back,Sciatica,Rehabilitating,Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows | Substitute sit-ups with planks or bird-dogs
INJ_1328,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Rehabilitating,Upper Body & Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1329,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Moderate,Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1330,Ankle / Foot,Achilles Tendinitis,Moderate,Full Body,"Avoid running, jumping, and high-impact cardio"
INJ_1331,Shoulder,AC Joint Sprain,Mild,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Keep elbows tucked during push-ups | Avoid overhead pressing
INJ_1332,Knee,Ligament Sprain (ACL/MCL),Rehabilitating,Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid deep squatting
INJ_1333,Knee,Runner's Knee (Patellofemoral Pain),Moderate,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1334,Wrist / Elbow,TFCC Tear (Mild),Mild,Upper Body,Avoid skull crushers
INJ_1335,Knee,Meniscus Tear (Mild),Chronic/Recurring,Full Body,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1336,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Pull (Back/Biceps) & Upper Body,Avoid skull crushers
INJ_1337,Knee,Knee Osteoarthritis,Chronic/Recurring,Full Body,Keep knee flexion pain-free
INJ_1338,Lower Back,Herniated Disc (Mild),Chronic/Recurring,Core & Cardio & Legs,Keep spine neutral | Avoid heavy deadlifts and bent-over rows
INJ_1339,Neck,Cervical Strain,Moderate,Upper Body & Push (Chest/Shoulders/Triceps),Keep neck neutral during planks and push-ups | Avoid overhead presses if causing pain
INJ_1340,Knee,Ligament Sprain (ACL/MCL),Moderate,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1341,Lower Back,Sciatica,Chronic/Recurring,Full Body,Substitute sit-ups with planks or bird-dogs
INJ_1342,Neck,Postural Neck Pain,Rehabilitating,Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck | Keep neck neutral during planks and push-ups
INJ_1343,Shoulder,Frozen Shoulder (Mild),Mild,Pull (Back/Biceps),Avoid overhead pressing | Substitute barbell bench with neutral-grip dumbbell press
INJ_1344,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Full Body & Legs,"Avoid deep squatting | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1345,Neck,Upper Trapezius Spasm,Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid overhead presses if causing pain
INJ_1346,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio & Push (Chest/Shoulders/Triceps),Keep neck neutral during planks and push-ups
INJ_1347,Lower Back,Sciatica,Moderate,Full Body,Keep spine neutral
INJ_1348,Knee,Runner's Knee (Patellofemoral Pain),Rehabilitating,Core & Cardio & Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1349,Knee,Knee Osteoarthritis,Rehabilitating,Legs & Full Body,"Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1350,Knee,Meniscus Tear (Mild),Mild,Full Body & Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1351,Knee,Meniscus Tear (Mild),Mild,Legs & Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Keep knee flexion pain-free
INJ_1352,Lower Back,SI Joint Dysfunction,Mild,Core & Cardio,Keep spine neutral | Avoid heavy deadlifts and bent-over rows
INJ_1353,Knee,Knee Osteoarthritis,Mild,Legs & Full Body,"Avoid deep squatting | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1354,Lower Back,Muscle Spasm,Rehabilitating,Full Body,Keep spine neutral | Avoid twisting core movements
INJ_1355,Ankle / Foot,Flat Feet Pain,Mild,Core & Cardio,Substitute standing calf raises with seated
INJ_1356,Ankle / Foot,Shin Splints,Rehabilitating,Legs,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1357,Lower Back,Sciatica,Chronic/Recurring,Full Body,Substitute sit-ups with planks or bird-dogs | Keep spine neutral
INJ_1358,Neck,Postural Neck Pain,Moderate,Upper Body,Keep neck neutral during planks and push-ups | Avoid overhead presses if causing pain
INJ_1359,Wrist / Elbow,TFCC Tear (Mild),Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Use neutral grips (hammer curls instead of regular) | Avoid skull crushers
INJ_1360,Neck,Whiplash Recovery,Chronic/Recurring,Core & Cardio,Avoid overhead presses if causing pain | Keep neck neutral during planks and push-ups
INJ_1361,Lower Back,Herniated Disc (Mild),Rehabilitating,Core & Cardio,Keep spine neutral
INJ_1362,Ankle / Foot,Shin Splints,Mild,Legs,Substitute standing calf raises with seated | Wear supportive footwear during lifts
INJ_1363,Neck,Upper Trapezius Spasm,Moderate,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs
INJ_1364,Ankle / Foot,Plantar Fasciitis,Rehabilitating,Full Body,Substitute standing calf raises with seated
INJ_1365,Ankle / Foot,Flat Feet Pain,Chronic/Recurring,Full Body,Substitute standing calf raises with seated | Perform cardio on a stationary bike or swimming instead
INJ_1366,Wrist / Elbow,Wrist Sprain,Rehabilitating,Upper Body & Pull (Back/Biceps),Avoid heavy gripping (use straps for pulling) | Use neutral grips (hammer curls instead of regular)
INJ_1367,Shoulder,Frozen Shoulder (Mild),Chronic/Recurring,Upper Body & Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1368,Wrist / Elbow,Golfer's Elbow,Rehabilitating,Pull (Back/Biceps),Avoid skull crushers | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1369,Wrist / Elbow,Wrist Sprain,Mild,Pull (Back/Biceps) & Upper Body,Avoid skull crushers
INJ_1370,Neck,Upper Trapezius Spasm,Rehabilitating,Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs
INJ_1371,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Avoid overhead presses if causing pain | Avoid crunches where hands pull on the neck
INJ_1372,Lower Back,SI Joint Dysfunction,Chronic/Recurring,Legs,Avoid heavy deadlifts and bent-over rows
INJ_1373,Knee,Patellar Tendinitis,Rehabilitating,Core & Cardio & Full Body,"Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1374,Neck,Postural Neck Pain,Moderate,Push (Chest/Shoulders/Triceps) & Core & Cardio,Avoid overhead presses if causing pain
INJ_1375,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Avoid heavy barbell shrugs
INJ_1376,Lower Back,SI Joint Dysfunction,Mild,Full Body,Avoid twisting core movements
INJ_1377,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Use neutral grips (hammer curls instead of regular) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1378,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Pull (Back/Biceps) & Upper Body,Use neutral grips (hammer curls instead of regular)
INJ_1379,Shoulder,Rotator Cuff Tendinitis,Mild,Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1380,Shoulder,Shoulder Impingement,Mild,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Keep elbows tucked during push-ups | Avoid overhead pressing
INJ_1381,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Legs,"Avoid high-impact jumps (Box Jumps, Burpees) | Keep knee flexion pain-free"
INJ_1382,Ankle / Foot,Flat Feet Pain,Chronic/Recurring,Full Body,"Substitute standing calf raises with seated | Avoid running, jumping, and high-impact cardio"
INJ_1383,Neck,Cervical Strain,Chronic/Recurring,Upper Body,Avoid crunches where hands pull on the neck
INJ_1384,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Chronic/Recurring,Pull (Back/Biceps) & Upper Body,Avoid skull crushers
INJ_1385,Lower Back,Lumbar Strain,Rehabilitating,Pull (Back/Biceps),Keep spine neutral | Avoid twisting core movements
INJ_1386,Shoulder,Frozen Shoulder (Mild),Moderate,Upper Body,Avoid wide-grip pull-ups
INJ_1387,Lower Back,Sciatica,Mild,Full Body & Core & Cardio,Avoid heavy deadlifts and bent-over rows
INJ_1388,Knee,Knee Osteoarthritis,Rehabilitating,Core & Cardio & Full Body,Avoid deep squatting
INJ_1389,Knee,Meniscus Tear (Mild),Moderate,Core & Cardio & Legs,Avoid deep squatting | Keep knee flexion pain-free
INJ_1390,Ankle / Foot,Achilles Tendinitis,Moderate,Core & Cardio,"Avoid running, jumping, and high-impact cardio"
INJ_1391,Ankle / Foot,Flat Feet Pain,Chronic/Recurring,Full Body & Legs,"Wear supportive footwear during lifts | Avoid running, jumping, and high-impact cardio"
INJ_1392,Neck,Whiplash Recovery,Moderate,Core & Cardio & Upper Body,Avoid heavy barbell shrugs | Keep neck neutral during planks and push-ups
INJ_1393,Lower Back,SI Joint Dysfunction,Moderate,Core & Cardio & Full Body,Avoid twisting core movements
INJ_1394,Lower Back,Herniated Disc (Mild),Mild,Pull (Back/Biceps) & Full Body,Keep spine neutral | Avoid twisting core movements
INJ_1395,Ankle / Foot,Achilles Tendinitis,Mild,Legs,"Avoid running, jumping, and high-impact cardio | Wear supportive footwear during lifts"
INJ_1396,Shoulder,Shoulder Impingement,Chronic/Recurring,Upper Body,Substitute barbell bench with neutral-grip dumbbell press | Avoid wide-grip pull-ups
INJ_1397,Neck,Whiplash Recovery,Rehabilitating,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain
INJ_1398,Wrist / Elbow,Wrist Sprain,Mild,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Avoid skull crushers | Substitute push-ups with forearm planks or knuckle push-ups
