Meal_Name,Protein(g),Carbs(g),Fat(g),Calories,Goal
"Nduma (Boiled Arrowroot) with Nyama Choma (Roasted Beef/Goat), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",31,63,17,529,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Sweet Banana (Ndizi)",20,83,13,529,Balanced / Maintenance
"Brown Rice with Beef Stew, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",31,63,17,529,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Managu (African Nightshade) & Pawpaw (Papaya Slice)",32,62,17,529,Weight Loss / Lean
"White Rice with Omena (Silver Cyprinid Stew), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",33,68,14,530,Weight Loss / Lean
"Pilau (Spiced Rice) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",30,62,18,530,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Pork Wet Fry, Spinach & Watermelon (Slice)",28,55,22,530,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",33,59,18,530,Weight Loss / Lean
"Ugali (White Cornmeal) with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",34,65,15,531,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Chicken Stew (Kuku Paka), Cabbage (Fried) & Passion Fruit (2 pcs)",29,61,19,531,Weight Loss / Lean
"White Rice with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",26,80,12,532,Balanced / Maintenance
"Brown Rice with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",29,68,16,532,Weight Loss / Lean
"Brown Rice with Mutura (African Sausage), Spinach & Passion Fruit (2 pcs)",23,56,24,532,Balanced / Maintenance
"Matoke (Plantain Stew) with Njahi (Black Bean Stew), Spinach & Passion Fruit (2 pcs)",22,84,12,532,Balanced / Maintenance
"Matoke (Plantain Stew) with Beef Stew, Cabbage (Fried) & Passion Fruit (2 pcs)",28,60,20,532,Weight Loss / Lean
"Chapati (Soft Flatbread) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",29,59,20,532,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Ndengu (Green Gram Stew), Cabbage (Fried) & Mango (Slice)",19,94,9,533,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Pawpaw (Papaya Slice)",33,62,17,533,Weight Loss / Lean
"Brown Rice with Njahi (Black Bean Stew), Spinach & Watermelon (Slice)",24,89,9,533,Balanced / Maintenance
"Ugali (White Cornmeal) with Omena (Silver Cyprinid Stew), Spinach & Watermelon (Slice)",33,62,17,533,Weight Loss / Lean
"Brown Rice with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Mango (Slice)",21,74,17,533,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Sweet Banana (Ndizi)",33,62,17,533,Weight Loss / Lean
"White Rice with Wet Fry Fish (Tilapia), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",34,61,17,533,Weight Loss / Lean
"White Rice with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",34,68,14,534,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Avocado (Half) & Passion Fruit (2 pcs)",25,48,27,535,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Pork Wet Fry, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",28,54,23,535,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Chicken Stew (Kuku Paka), Managu (African Nightshade) & Passion Fruit (2 pcs)",31,60,19,535,Weight Loss / Lean
"Pilau (Spiced Rice) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",22,67,20,536,Balanced / Maintenance
"Matoke (Plantain Stew) with Beef Stew, Managu (African Nightshade) & Passion Fruit (2 pcs)",30,59,20,536,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Cabbage (Fried) & Mango (Slice)",19,79,16,536,Balanced / Maintenance
"White Rice with Wet Fry Fish (Tilapia), Cabbage (Fried) & Passion Fruit (2 pcs)",33,63,17,537,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Ndengu (Green Gram Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",20,94,9,537,Balanced / Maintenance
"Ugali (White Cornmeal) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",22,65,21,537,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Avocado (Half) & Mango (Slice)",17,61,25,537,Balanced / Maintenance
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",23,91,9,537,Balanced / Maintenance
"Githeri (Maize & Beans) with Beef Stew, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",38,58,17,537,Weight Loss / Lean
"Matoke (Plantain Stew) with Njahi (Black Bean Stew), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",22,90,10,538,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Spinach & Mango (Slice)",28,57,22,538,Weight Loss / Lean
"White Rice with Beef Stew, Cabbage (Fried) & Pawpaw (Papaya Slice)",29,72,15,539,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Maharagwe (Bean Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",17,84,15,539,Balanced / Maintenance
"Matoke (Plantain Stew) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Mango (Slice)",27,74,15,539,Balanced / Maintenance
"White Rice with Ndengu (Green Gram Stew), Spinach & Watermelon (Slice)",22,95,8,540,Balanced / Maintenance
"Brown Rice with Nyama Choma (Roasted Beef/Goat), Spinach & Passion Fruit (2 pcs)",34,54,21,541,Weight Loss / Lean
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",22,93,9,541,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Ndengu (Green Gram Stew), Cabbage (Fried) & Pawpaw (Papaya Slice)",19,96,9,541,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Sweet Banana (Ndizi)",21,76,17,541,Balanced / Maintenance
"White Rice with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Passion Fruit (2 pcs)",35,62,17,541,Weight Loss / Lean
"Spaghetti with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",24,98,6,542,Balanced / Maintenance
"Ugali (White Cornmeal) with Wet Fry Fish (Tilapia), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",34,61,18,542,Weight Loss / Lean
"Ugali (White Cornmeal) with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",28,67,18,542,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Mango (Slice)",26,78,14,542,Balanced / Maintenance
"Ugali (White Cornmeal) with Omena (Silver Cyprinid Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",32,63,18,542,Weight Loss / Lean
"Spaghetti with Wet Fry Fish (Tilapia), Spinach & Passion Fruit (2 pcs)",38,57,18,542,Weight Loss / Lean
"Githeri (Maize & Beans) with Omena (Silver Cyprinid Stew), Spinach & Passion Fruit (2 pcs)",41,54,18,542,Weight Loss / Lean
"Chapati (Soft Flatbread) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",33,53,22,542,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Spinach & Maziwa Lala (Fermented Milk 1 cup)",28,74,15,543,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Avocado (Half) & Passion Fruit (2 pcs)",30,45,27,543,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Chicken Stew (Kuku Paka), Cabbage (Fried) & Watermelon (Slice)",29,64,19,543,Weight Loss / Lean
"Pilau (Spiced Rice) with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",23,61,23,543,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Njahi (Black Bean Stew), Spinach & Mango (Slice)",21,99,7,543,Balanced / Maintenance
"Githeri (Maize & Beans) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",36,55,20,544,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Avocado (Half) & Sweet Banana (Ndizi)",17,63,25,545,Balanced / Maintenance
"Githeri (Maize & Beans) with Beef Stew, Managu (African Nightshade) & Passion Fruit (2 pcs)",39,59,17,545,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Beef Stew, Cabbage (Fried) & Pawpaw (Papaya Slice)",31,67,17,545,Weight Loss / Lean
"Spaghetti with Beef Stew, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",34,64,17,545,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Mandazi (1 pc)",20,58,26,546,Balanced / Maintenance
"Githeri (Maize & Beans) with Chicken Stew (Kuku Paka), Spinach & Watermelon (Slice)",36,60,18,546,Weight Loss / Lean
"Spaghetti with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Sweet Banana (Ndizi)",24,81,14,546,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",33,72,14,546,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Maharagwe (Bean Stew), Spinach & Pawpaw (Papaya Slice)",18,87,14,546,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Beef Stew, Cabbage (Fried) & Passion Fruit (2 pcs)",31,65,18,546,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Pork Wet Fry, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",28,57,23,547,Weight Loss / Lean
"Matoke (Plantain Stew) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",27,76,15,547,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Passion Fruit (2 pcs)",37,57,19,547,Weight Loss / Lean
"Matoke (Plantain Stew) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",27,58,23,547,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Avocado (Half) & Passion Fruit (2 pcs)",31,45,27,547,Weight Loss / Lean
"White Rice with Njahi (Black Bean Stew), Managu (African Nightshade) & Watermelon (Slice)",24,95,8,548,Balanced / Maintenance
"White Rice with Nyama Choma (Roasted Beef/Goat), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",33,66,17,549,Weight Loss / Lean
"White Rice with Omena (Silver Cyprinid Stew), Managu (African Nightshade) & Watermelon (Slice)",34,65,17,549,Weight Loss / Lean
"Spaghetti with Beef Stew, Cabbage (Fried) & Watermelon (Slice)",33,66,17,549,Weight Loss / Lean
"Brown Rice with 2 Boiled Eggs, Managu (African Nightshade) & Sweet Banana (Ndizi)",22,77,17,549,Balanced / Maintenance
"Ugali (White Cornmeal) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",31,77,13,549,Balanced / Maintenance
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",23,94,9,549,Balanced / Maintenance
"Ugali (White Cornmeal) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",22,68,21,549,Balanced / Maintenance
"Matoke (Plantain Stew) with Ndengu (Green Gram Stew), Spinach & Passion Fruit (2 pcs)",21,87,13,549,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Beef Stew, Managu (African Nightshade) & Passion Fruit (2 pcs)",33,64,18,550,Weight Loss / Lean
"Brown Rice with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",23,65,22,550,Balanced / Maintenance
"Brown Rice with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",27,79,14,550,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Wet Fry Fish (Tilapia), Spinach & Pawpaw (Papaya Slice)",36,61,18,550,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Mixed Vegetables (Peas, Carrots) & Maziwa Lala (Fermented Milk 1 cup)",38,50,22,550,Weight Loss / Lean
"White Rice with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",34,72,14,550,Balanced / Maintenance
"Spaghetti with Omena (Silver Cyprinid Stew), Spinach & Watermelon (Slice)",37,60,18,550,Weight Loss / Lean
"Mukimo (Mashed Potatoes & Greens) with Wet Fry Fish (Tilapia), Spinach & Passion Fruit (2 pcs)",36,59,19,551,Weight Loss / Lean
"Pilau (Spiced Rice) with 2 Boiled Eggs, Cabbage (Fried) & Watermelon (Slice)",21,65,23,551,Balanced / Maintenance
"Brown Rice with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Passion Fruit (2 pcs)",36,59,19,551,Weight Loss / Lean
"Githeri (Maize & Beans) with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",36,59,19,551,Weight Loss / Lean
"Ugali (White Cornmeal) with Beef Stew, Managu (African Nightshade) & Pawpaw (Papaya Slice)",31,71,16,552,Balanced / Maintenance
"Pilau (Spiced Rice) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",22,71,20,552,Balanced / Maintenance
"White Rice with Nyama Choma (Roasted Beef/Goat), Cabbage (Fried) & Passion Fruit (2 pcs)",32,61,20,552,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Mixed Vegetables (Peas, Carrots) & Sweet Banana (Ndizi)",28,65,20,552,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Ndengu (Green Gram Stew), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",24,96,8,552,Balanced / Maintenance
"Brown Rice with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",29,64,20,552,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Roasted Peanuts (Handful)",32,52,24,552,Weight Loss / Lean
"Chapati (Soft Flatbread) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",22,87,13,553,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Mutura (African Sausage), Managu (African Nightshade) & Passion Fruit (2 pcs)",25,57,25,553,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",23,104,5,553,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Mango (Slice)",28,72,17,553,Balanced / Maintenance
"Githeri (Maize & Beans) with Beef Stew, Cabbage (Fried) & Watermelon (Slice)",37,63,17,553,Weight Loss / Lean
"White Rice with 2 Boiled Eggs, Avocado (Half) & Passion Fruit (2 pcs)",19,63,25,553,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",26,72,18,554,Balanced / Maintenance
"Spaghetti with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",26,63,22,554,Weight Loss / Lean
"Mukimo (Mashed Potatoes & Greens) with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",33,65,18,554,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Avocado (Half) & Watermelon (Slice)",20,78,18,554,Balanced / Maintenance
"White Rice with Pork Wet Fry, Spinach & Passion Fruit (2 pcs)",30,59,22,554,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Spinach & Mandazi (1 pc)",30,59,22,554,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Avocado (Half) & Watermelon (Slice)",30,48,27,555,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Maharagwe (Bean Stew), Sukuma Wiki (Collard Greens) & Mango (Slice)",18,87,15,555,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Ndengu (Green Gram Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",23,91,11,555,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Mutura (African Sausage), Spinach & Pawpaw (Papaya Slice)",24,61,24,556,Balanced / Maintenance
"Ugali (White Cornmeal) with Mutura (African Sausage), Managu (African Nightshade) & Passion Fruit (2 pcs)",23,62,24,556,Balanced / Maintenance
"White Rice with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",22,72,20,556,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",36,67,16,556,Weight Loss / Lean
"White Rice with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",23,98,8,556,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Wet Fry Fish (Tilapia), Spinach & Sweet Banana (Ndizi)",32,71,16,556,Balanced / Maintenance
"White Rice with Ndengu (Green Gram Stew), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",22,97,9,557,Balanced / Maintenance
"Matoke (Plantain Stew) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Roasted Peanuts (Handful)",23,51,29,557,Balanced / Maintenance
"Chapati (Soft Flatbread) with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",32,51,25,557,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Cabbage (Fried) & Mango (Slice)",25,76,17,557,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Mutura (African Sausage), Spinach & Passion Fruit (2 pcs)",24,59,25,557,Balanced / Maintenance
"Matoke (Plantain Stew) with Wet Fry Fish (Tilapia), Cabbage (Fried) & Passion Fruit (2 pcs)",32,58,22,558,Weight Loss / Lean
"Ugali (White Cornmeal) with Ndengu (Green Gram Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",21,96,10,558,Balanced / Maintenance
"Githeri (Maize & Beans) with Chicken Stew (Kuku Paka), Managu (African Nightshade) & Passion Fruit (2 pcs)",37,60,19,559,Weight Loss / Lean
"Matoke (Plantain Stew) with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",27,70,19,559,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Chicken Stew (Kuku Paka), Cabbage (Fried) & Passion Fruit (2 pcs)",29,66,20,560,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Maziwa Lala (Fermented Milk 1 cup)",27,50,28,560,Weight Loss / Lean
"White Rice with Nyama Choma (Roasted Beef/Goat), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",33,62,20,560,Weight Loss / Lean
"Brown Rice with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",21,74,20,560,Balanced / Maintenance
"White Rice with Njahi (Black Bean Stew), Cabbage (Fried) & Pawpaw (Papaya Slice)",22,100,8,560,Balanced / Maintenance
"White Rice with Pork Wet Fry, Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",30,65,20,560,Weight Loss / Lean
"White Rice with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Maziwa Lala (Fermented Milk 1 cup)",27,68,20,560,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Sukuma Wiki (Collard Greens) & Mango (Slice)",31,71,17,561,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Sweet Banana (Ndizi)",26,76,17,561,Balanced / Maintenance
"Ugali (White Cornmeal) with Nyama Choma (Roasted Beef/Goat), Cabbage (Fried) & Passion Fruit (2 pcs)",32,61,21,561,Weight Loss / Lean
"Ugali (White Cornmeal) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",32,79,13,561,Balanced / Maintenance
"Matoke (Plantain Stew) with Omena (Silver Cyprinid Stew), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",32,59,22,562,Weight Loss / Lean
"Brown Rice with Nyama Choma (Roasted Beef/Goat), Cabbage (Fried) & Passion Fruit (2 pcs)",33,58,22,562,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Mandazi (1 pc)",28,72,18,562,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Spinach & Sweet Banana (Ndizi)",20,71,22,562,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",25,57,26,562,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Omena (Silver Cyprinid Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",35,63,19,563,Weight Loss / Lean
"Pilau (Spiced Rice) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",23,93,11,563,Balanced / Maintenance
"Spaghetti with Chicken Stew (Kuku Paka), Cabbage (Fried) & Watermelon (Slice)",31,67,19,563,Weight Loss / Lean
"Mukimo (Mashed Potatoes & Greens) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",24,65,23,563,Balanced / Maintenance
"Ugali (White Cornmeal) with Mutura (African Sausage), Cabbage (Fried) & Watermelon (Slice)",21,66,24,564,Balanced / Maintenance
"Githeri (Maize & Beans) with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",42,63,16,564,Weight Loss / Lean
"Spaghetti with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",25,105,5,565,Balanced / Maintenance
"White Rice with Nyama Choma (Roasted Beef/Goat), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",33,70,17,565,Balanced / Maintenance
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",23,98,9,565,Balanced / Maintenance
"Ugali (White Cornmeal) with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",20,110,5,565,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Avocado (Half) & Watermelon (Slice)",19,48,33,565,Balanced / Maintenance
"Chapati (Soft Flatbread) with Njahi (Black Bean Stew), Spinach & Passion Fruit (2 pcs)",24,79,17,565,Balanced / Maintenance
"Chapati (Soft Flatbread) with Beef Stew, Cabbage (Fried) & Passion Fruit (2 pcs)",30,55,25,565,Weight Loss / Lean
"Githeri (Maize & Beans) with 2 Boiled Eggs, Cabbage (Fried) & Sweet Banana (Ndizi)",27,76,17,565,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Cabbage (Fried) & Mango (Slice)",30,73,17,565,Balanced / Maintenance
"Spaghetti with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",30,80,14,566,Balanced / Maintenance
"Ugali (White Cornmeal) with Omena (Silver Cyprinid Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",33,68,18,566,Weight Loss / Lean
"Matoke (Plantain Stew) with Njahi (Black Bean Stew), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",22,97,10,566,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Sweet Banana (Ndizi)",22,79,18,566,Balanced / Maintenance
"Brown Rice with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",23,69,22,566,Balanced / Maintenance
"White Rice with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",31,77,15,567,Balanced / Maintenance
"Githeri (Maize & Beans) with Wet Fry Fish (Tilapia), Cabbage (Fried) & Passion Fruit (2 pcs)",41,58,19,567,Weight Loss / Lean
"Ugali (White Cornmeal) with Beef Stew, Spinach & Mango (Slice)",30,78,15,567,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Maharagwe (Bean Stew), Cabbage (Fried) & Pawpaw (Papaya Slice)",17,91,15,567,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",25,90,12,568,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Roasted Peanuts (Handful)",32,38,32,568,Weight Loss / Lean
"Chapati (Soft Flatbread) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",29,50,28,568,Weight Loss / Lean
"Githeri (Maize & Beans) with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",36,70,16,568,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Managu (African Nightshade) & Sweet Banana (Ndizi)",29,75,17,569,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Ndengu (Green Gram Stew), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",24,98,9,569,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Mutura (African Sausage), Spinach & Watermelon (Slice)",24,62,25,569,Balanced / Maintenance
"Spaghetti with Beef Stew, Managu (African Nightshade) & Pawpaw (Papaya Slice)",35,69,17,569,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Nyama Choma (Roasted Beef/Goat), Mixed Vegetables (Peas, Carrots) & Mango (Slice)",31,73,17,569,Balanced / Maintenance
"Ugali (White Cornmeal) with Pork Wet Fry, Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",30,65,21,569,Weight Loss / Lean
"Mukimo (Mashed Potatoes & Greens) with 2 Boiled Eggs, Cabbage (Fried) & Sweet Banana (Ndizi)",21,81,18,570,Balanced / Maintenance
